,category,value,ques,ans
5533,myth in action,$200,in the legend mytholog of mani of the world 's cultur you 'll find these fieri reptilian,dragon
5534,wing,$200,the wright brother connect these to the engin with bicycl chain,propel
5535,presidenti rel,$400,when thi presid wa a governor hi brother roger wa arrest,clinton
5536,eleph in literatur,$600,"throughout a one thousand, nine hundred and fifty-four book thi eleph repeat a person 's a person no matter how small",horton
5537,d talk,$600,"a one thousand, nine hundred and sixty-one disney film greatli contribut to an increas in thi dog breed 's popular",dalmatian
5538,vampir diari,$800,the vampir diari seri center on elena stefan thi brother of hi,damon
5539,the weather channel,$1000,when the folk at the nation weather servic are feel a bit dz dz stand for thi weather condit,drizzl
5540,it' alway about u,$1000,the languag known a hindi is veri close to thi offici languag of pakistan,urdu
5541,name chang,$200,dr bunt 's sunburn remedi wa renam thi when a custom said it knock my eczema,noxema
5542,two letter word,$400,in tv show titl thi name ha stood alon follow mister,ed
5543,fruit veget,$1000,although thi juic orang may have origin in portug it bear the name of a spanish citi region,valencia
5544,femm fatal,$800,ludwig i 's infatu with the dancer lola montez help ensur hi loss of thi german kingdom,bavaria
5545,kiddi lit,$400,in thi poem the hero is instruct to shun the frumiou bandersnatch,jabberwocki
5546,snow busi like show busi,$800,"a href http www j archiv com medium two thousand and six three twenty j four mp3 oh dontcha know sheriff marg gunderson check out a bodi in da snow in thi one thousand, nine hundred and ninety-six film a",fargo
5547,four syllabl word,$400,bridgeport is the largest citi in thi northeastern state,connecticut
5548,absolut adject,$1000,it 's not just unlik it 's thi the i in the im forc,imposs
5549,stuff for your comput ?,$1000,a swell under the eye or a quiet timid person,mous
5550,real estat,$200,"in one thousand, nine hundred and forty-seven the u s wa given a ninety-nine year one on philippin militari base it wa later shorten",lea
5551,homeland secur,$800,befor becom homeland secur chief michael chertoff 's last job in the bush admin wa in thi cabinet depart,justic
5552,20th centuri peopl,$200,"on easter monday april twenty-four one thousand, nine hundred and sixteen padraic pear hi men seiz thi citi 's gener post offic",dublin
5553,heteronym,$400,a metal element or to guid the way,lead
5554,intern road vehicl sticker,$1000,the most common languag a href http www j archiv com medium two thousand and five ten five j twenty-six jpg target blank there a after spanish is guarani,paraguay
5555,new superhero villain,$400,call head case until hi friends' laughter made him mad he chang it to thi from the greek for skull bewar the,cranium
5556,the specif palm reader,$1000,your health line tell me that in two year you 'll develop thi an inflamm of a fluid fill sac around the elbow,bursiti
5557,sandwich,$200,when you add thi new world fruit to a blt in becom a blat,avocado
5558,from the latin,$600,pronounc one way thi word from the latin for to make smaller mean tini anoth way it 's a unit of time,minut
5559,top forty commenc address ?,$400,the past is gone it went by like dusk to dawn dream on dream on dream yourself a dream come true,aerosmith
5560,hodgepodg,$800,thi sign of the zodiac follow libra,scorpio
5561,flag of the world,$400,ja they know how to ski real good in thi countri whose flag is seen a href http www j archiv com medium two thousand and six seven nineteen j twenty-five jpg target blank here a,norway
5562,where is that pierr ?,$400,the jura mountain straddl the border between franc thi countri,switzerland
5563,you'r such an anim,$1000,pictur a href http www j archiv com medium two thousand and eight eleven ten j twenty jpg target blank here a thi huski like sled dog is name for the inuit tribe who develop the breed,malamut
5564,if mose kept a diari,$200,after all i 've done for my peopl now they want to stone me go back to thi countri,egypt
5565,in the dictionari,$400,mean made or done in the arab fashion thi adject is use in music interior design ballet,arabesqu
5566,the apollo theater,$800,"a maiz ing but in one thousand, nine hundred and ninety-nine they becam the first hard rocker to play the apollo",korn
5567,european capit haiku,$400,romant all know rude waiter cannot obscur citi of light 's glow,pari
5568,are you shakespearienc ?,$400,the bell invit me hear me not duncan for it is a knell that summon thee to heaven or to hell,macbeth
5569,the truth lie therein,$1000,a palindrom preposit of the past,ere
5570,colleg sport team logo,$400,a href http www j archiv com medium two thousand and six twelve twenty-one j seven jpg target blank a footbal powerhous a it 's also famou for it archaeolog museum,nebraska
5571,what' your beef ?,$600,the left or right side of a militari format,flank
5572,sound,$200,leviticu twenty-five say everi 50th year is to be celebr a a jubile with these instrument sound,trumpet
5573,money money money,$800,"the name of thi coin issu in the one thousand, one hundred by roger ii of sicili duke of apulia now refer to an admiss ticket",ducat
5574,chang the world,$400,for collector investor thi countri mint a mapl leaf coin in gold silver,canada
5575,geometri,$1000,on the road it 's a type of strip in a triangl it 's a line extend from the midpoint of a side to the opposit angl,median
5576,doctor horribl,$400,hosmani ramo a plastic surgeon from thi countri smuggl drug commit murder stole pele 's watch,brazil
5577,danc pain with the star,$200,ok he 's four hundred foot tall with bad fire breath but a long a we do n't go near tokyo thi titl guy can realli samba,godzilla
5578,my spice,$400,the ceylon or tree type of thi spice that 's good on toast is buff color mildli sweet,cinnamon
5579,u s colleg univers,$1000,it 's the northernmost ivi leagu school,dartmouth
5580,c ountri,$1000,"found around one thousand, eight hundred and eighty-eight dure german coloni rule yaound is the bustl capit of thi central african nation",cameroon
5581,that' my drink,$600,gin lime club soda gin thi guy,rickey
5582,letter letter word,$400,a colleg sport particip or a popular late night talk show host,letterman
5583,disney film charact,$1000,she join the chine armi to protect her father end up a hero,mulan
5584,intern cuisin,$400,soba are a japanes type of these made from buckwheat flour serv hot or cold,noodl
5585,card game,$400,a popular jeopardi categori or a child 's game with pictur of writer on the card,author
5586,potpourri realli,$600,potpourri is often use to fill these small scent packet with a french name,sachet
5587,gate,$600,accord to homer thi ancient citi had numer gate includ the famou scaean one,troy
5588,the frank,$600,thi short guy becam king of the frank in seven hundred and fifty-one wa the first to be offici anoint by a pope,pepin
5589,the new york time columnist,$400,after the death of red smith georg vecsey becam a columnist on thi subject,sport
5590,scienc,$400,horsesho crab coelacanth fish are consid live one of these,fossil
5591,think small,$600,accord to the akc yorkshir terrier pomeranian pug belong to thi dog group,toy
5592,nonpot potabl,$400,thi cold bottl beverag from starbuck come in three flavor coffe vanilla mocha,frappucino
5593,play time,$400,chute ladder began a a hindu game of these ladder,snake
5594,polit,$800,vote a straight one it 's all for one parti vote a split one you pick from multipl parti,ticket
5595,shred thi,$200,a a whole it head can be stuf shred it can be a slaw,cabbag
5596,loo chang,$200,for america 's bicentenni the quarter 's revers depict a coloni era musician beat thi instrument,drum
5597,transport,$200,"in one thousand, seven hundred and eighty-five congress began mail servic use thi hors drawn carriag",stagecoach
5598,use for stale bread,$600,stale bread is handi a an ingredi in thi thanksgiv side dish name for it placement insid the bird,stuf
5599,nors mytholog,$600,for nors god the core of etern youth wa found in these fruit suppli by the goddess iduna,appl
5600,intern potpourri,$200,the railroad in hondura were built mainli to transport thi fruit that ha a lot of ap peel,banana
5601,time for the sat again,$1000,adject for ani liquid that ha all the solut it can handl,satur
5602,groom aid,$200,it 's a wax string use to clean between your teeth,floss
5603,in the state capit,$600,the citi oper margaret mitchel hous,atlanta
5604,gee you smell terrif,$1000,thi earthi scent from demet is decrib a a nice pot soil mix with the citru smell of fresh grass,dirt
5605,bad boy bad boy,$800,"he wa the queen 's confessor befor he becam spain 's notori cruel first grand inquisitor in one thousand, four hundred and eighty-three",torquemada
5606,fruit,$200,it seed can be roast salt eaten a snack have been spit for a guin record,watermelon
5607,hoax,$200,"in one thousand, seven hundred and thirty ben franklin print a made up account of the trial of these includ test whether they float",witch
5608,around the usa,$200,the portland headlight lighthous is in thi state the first one to see the morn sun,main
5609,r t,$200,"born in limog in one thousand, eight hundred and forty-one a a child thi impressionist work in a porcelain factori paint china",renoir
5610,food in histori,$400,"in one thousand, nine hundred and eighteen a mani a two million japanes particip in riot spur by the high price of thi",rice
5611,money money money,$1000,the fifty zero rial note of thi middl east countri is seen a href http www j archiv com medium two thousand and eleven ten ten j fourteen jpg target blank here a,iran
5612,comic strip,$800,duke ha been gov of american samoa gm of the redskin a lobbyist for the nra in thi comic strip,doonesburi
5613,special t s,$600,these spanish appet run the gamut from simpl item like oliv to more elabor thing like cold omelet,tapa
5614,t three,$800,it 's the lever pilot use to control the power speed of mani plane,throttl
5615,ike speak,$400,"ike telegram that the mission of alli forc wa fulfil at two hundred and forty-one hour local time in thi month one thousand, nine hundred and forty-five",may
5616,cheeri o s,$600,the name of thi type of fertil spot in the desert come from the egyptian arab,oasi
5617,literari titl pair,$1000,"one thousand, nine hundred and four and king",cabbag
5618,from the greek,$200,a pentad is a group of thi mani,five
5619,tion me,$200,"one orbit around the sun or what happen in cuba in late one thousand, nine hundred and fifty-nine",revolut
5620,japanes theatr,$600,a href http www j archiv com medium two thousand and seven eleven thirteen j twenty-five jpg target blank alex hold up a mask in a store in tokyo japan a these tradit mask are worn by the shite or hero of thi rever highli styliz form of japanes drama,noh
5621,three m,$800,"on new year 's day one thousand, nine hundred and one philadelphia host the first annual thi parad",mummer
5622,addictionari,$1000,mike to get well you need to go somewher for thi from the latin for restor,rehabilit
5623,walk with me,$1000,if your report card show progress the teacher may say you 're make great these long step in your studi,stride
5624,what do you stand for ?,$600,the v in panten pro v a line of hair care product stand for thi,vitamin
5625,tv show by charact,$1000,special agent leroy jethro gibb dr donald ducki mallard,nci
5626,opera gloss,$600,a barcarol ha a lilt rhythm suggest the song of these venetian singer,gondoli
5627,nato is neato,$600,"in one thousand, nine hundred and forty-nine the nato treati wa sign by the u s eleven other countri includ thi volcan island nation",iceland
5628,breakfast cereal,$400,a it name suggest thi gener mill cereal provid one hundred daili valu of twelve vitamin miner,total
5629,i exam,$800,thi latin abbrevi mean in the same place sound like someth you do on ebay,ibid
5630,six flag,$400,a lot of thanksgiv goe on in thi countri dure ramadan,turkey
5631,ed,$800,"in order to marri a twice divorc american woman king edward viii of thi countri abdic the throne in one thousand, nine hundred and thirty-six",england
5632,i can do it in five note s,$600,barack obama deliv thi speech at the two thousand and four democrat nation convent,keynot
5633,complet the bibl quot,$600,but when i becam a man i put away thing,childish
5634,last name' the same,$800,former cb even news host dougla former npr morn host bob,edward
5635,marxism,$400,hi mom said if karl instead of write a lot about da thi made a lot of thi it would have been much better,kapit
5636,movi taglin,$1000,two thousand and three the inner beast will be releas,hulk
5637,world wide web,$1000,a href http www j archiv com medium two thousand and nine seven seven j twenty-five wmv kelli of the clue crew show an anim diagram of a spider complet a web on the monitor a the catch spiral is cover with a sticki substanc stop short of the center of the web known a thi three letter word just like the middl of a wheel,hub
5638,spain,$400,"after franco 's death thi citi host of the one thousand, nine hundred and ninety-two olymp chang it street sign from castilian to catalan",barcelona
5639,where am i ?,$600,cheryl of the clue crew i'm at histor ebenez baptist church in thi citi,atlanta
5640,draw a crowd,$200,"on march five one thousand, seven hundred and seventy british troop fire into a crowd in thi citi kill five",boston
5641,wine a littl,$1000,thi italian word for foam is use of sparkl wine the asti one is quit famou,spumant
5642,fish,$400,croaker name for the nois they make are also call by the name of thi percuss instrument,drumfish
5643,her,$400,"in one thousand, nine hundred and ninety-seven harpist anna lelk becam the first woman member of thi european citi 's one hundred and fifty year old philharmon",vienna
5644,hello doll y,$400,"in the one thousand, eight hundred and eighty thi inventor reduc the size of a phonograph so that it could fit insid a doll make it talk",edison
5645,occup,$200,in a restaur the fromag doe for chees what the sommeli doe for thi,wine
5646,german chancellor sinc wwii,$400,church not be so separ from state in germani angela merkel is part of the cdu c stand for thi,christian
5647,mytholog,$400,these half hors half man creatur were notori for misbehav at parti,centaur
5648,scienc,$400,the surfac of thi type of element can be anod,metal
5649,abbrev,$400,mt is an abbrevi for megaton a well a thi u s state,montana
5650,the bibl,$200,to escap from damascu thi apostl to the gentil wa lower over the citi wall in a basket,paul
5651,,$400,network for which the two report seen here work for jule asner steve kmetko,e
5652,you need a drink,$400,"to be patriot dure wwii thi soda invent in one thousand, eight hundred and ninety-eight adopt red white blue color still on it logo today",pepsi
5653,doubl letter,$800,it wa the last name of the three billi goat who cross over the troll bridg,gruff
5654,natur studi,$600,the indian type of thi horn beast ha rivet like project on it skin that make it look armor,rhinocero
5655,colleg radio,$800,krlx come from c a r leton colleg in thi state,minnesota
5656,dead scientists' societi,$200,thi russian famous condit dog to saliv everi time a bell rang,pavlov
5657,g whiz,$400,it 's the liquor you might drink while play the card game of the same name,gin
5658,say it in,$200,for convers in japan learn the use word wakarimasen which mean i do n't thi,understand
5659,the exchang student,$400,ask if he 'd ever seen snow befor ekrem explain that ankara in thi countri is farther north than denver,turkey
5660,give 'em helois,$400,heat caus thi product to lose potenc so store it in the fridg but do n't mistak chanel no five for beer,perfum
5661,invent mind,$800,the differenti analyz vannevar bush invent at mit is a forerunn of the modern one of these,comput
5662,that' just sad,$600,we see thi southern california ctiy origin name indiana coloni through rose color glass,pasadena
5663,proverbi speak,$600,where ignor is thi 'ti folli to be wise,bliss
5664,man oman,$600,seventy-five of omani practic the ibahdi branch of thi religion,islam
5665,nonfict pulitz winner,$800,herbert p bix won in two thousand and one with a book on thi emperor and the make of modern japan,hirohito
5666,literari monster,$400,titl monster in thi skin crawl r l stine seri includ a mummi a scarecrow a snowman,goosebump
5667,teen cuisin,$800,smucker 's recip for sweet sour hot dog bite call for thi classic flavor of jelli,grape
5668,sport good,$200,ecolog mind golfer can get these golf ball support that are biodegrad,tee
5669,moo,$200,thi adject mean pure academ or irrelev,moot
5670,theatr,$400,meryl streep ha suspicion about philip seymour hoffman in the film adapt of thi pulitz prize winner,doubt
5671,medicin show,$200,breath right strip allevi thi sleep nois but becam huge when jerri rice use them on the field,snore
5672,sew,$200,thread made of thi fiber is often mercer give it greater strength affin for dye,cotton
5673,you say myanmar i say burma,$400,yangon thi are both name for burma 's longtim capit,rangoon
5674,"one thousand, four hundred and fifty a m make that a d",$800,"in one thousand, four hundred and fifty he team up with investor johann fust with the intent of print book",gutenberg
5675,color,$400,damson a shade of purpl a heck of a plum refer to thi syrian cti,damascu
5676,quotat,$200,john kenneth galbraith said these are indispens when you do n't want to do anyth there 's one in the boardroom at two thirty,meet
5677,reign check,$1000,king of thi north african countri have includ muhammad v hassan ii,morocco
5678,it' bad for ya,$800,john ender wa award a nobel prize for hi work on thi diseas that end with myeliti,polio
5679,a b c d then f,$800,in shakespear 's richard iii the titl charact open the play by say now is the winter of our thi,discont
5680,those amaz anim,$800,becaus hippo teeth are made of thi they wo n't yellow were onc a popular sourc for fals teeth,ivori
5681,want by the fbi,$200,hen ben haim is accus of run more than five hundred fraudul auction on thi websit,ebay
5682,role play game,$800,ruin of kunarc scar of veliou propheci of ro are expans to thi origin soni onlin rpg,everquest
5683,yellow thing,$400,thi yellow american songbird ha a preciou metal in it name,goldfinch
5684,take a powder,$200,locholest powder is design to lower the level of the bad cholesterol known by thi three letter abbrevi,ldl
5685,a yen for japan,$200,it 's the japanes version of horseradish,wasabi
5686,poetic set,$400,a hundr shout sign shed down their bright fantast glow in claud mckay 's on thi nyc street,broadway
5687,olymp boxer,$1000,last name of the brotherli pair who both won gold medal in montreal,spink
5688,we'v got compani,$600,the nation 's second largest internet servic provid it logo is seen a href http www j archiv com medium two thousand and two ten eleven j twenty-four jpg target blank here a,earthlink
5689,melt potpourri,$400,"thi artist creat the melt one thousand, nine hundred and thirty-one work seen a href http www j archiv com medium two thousand and eleven eleven fifteen j twenty-seven jpg target blank here a",dal
5690,my favorit thing,$200,rain drop on rose and whisker on these young anim,kitten
5691,ancient histori,$800,in six hundred and twenty-one b c thi greek lawmak introduc a code of law so harsh it wa said to be written in blood,draco
5692,insect,$400,the mani stag speci of thi insect get their name from the males' jaw which resembl antler,beetl
5693,a bunch of stuff,$800,thi maryland citi 's intl airport is offici name for thurgood marshal who wa born there,baltimor
5694,name in sport,$600,l a ram defens end david jone wa better known by thi nicknam,deacon
5695,land idaho,$200,"in one thousand, nine hundred the popul of thi capit wa about six zero by one thousand, nine hundred and sixty it had explod to thirty-four zero",bois
5696,broadway music by charact,$800,bustoph jone old deuteronomi mistoffele,cat
5697,leonard maltin on disney,$800,"a href http www j archiv com medium two thousand and eight one seven j eight jpg target blank leonard maltin read the clue a a chanc meet with leopold stokowski led walt to hire him for a sorcer 's apprentic short stokowski prod him into make a longer film thi one thousand, nine hundred and forty epic",fantasia
5698,pugilist,$800,thi bare knuckl heavyweight champ wa known a the great john l,sullivan
5699,sometim y,$400,term for a famili where dad took off mom ignor the kid etc salli jessi would be jobless without them,dysfunct
5700,y is the onli vowel,$1000,in the iliad thi dwarven race from africa fought against crane who destroy their field,pygmi
5701,world geographi,$800,you can get to thi northwesternmost african nation by cross the strait of gibraltar,morocco
5702,i'll have the beef,$600,thi steak a season broil hamburg patti is name for an american doctor not a british citi,salisburi
5703,toy game,$800,despit the name of thi game you do n't have to apolog when you send anoth player 's pawn back to the start,sorri
5704,the old testament,$200,while encyclopedia americana say thi old testament book should be read a a parabl we say it s a big fish stori,jonah
5705,mammal,$200,the malayan fli fox with a wingspan of over five foot is realli one of these mammal,bat
5706,languag,$200,finland ha three nation languag finnish thi one spoken by it neighbor,swedish
5707,presidents' birthday,$200,"on decemb twenty-eight one thousand, eight hundred and fifty-six woodrow wilson becam the eighth presid born in thi state",virginia
5708,agribusi,$200,john tyson start take these from arkansa north for better price the rest is agribusi,chicken
5709,medic,$800,amoxicillin is use to treat infect cau by these,bacteria
5710,tour usa,$200,enjoy a glass bottom boat ride at john pennekamp coral reef state park near key largo in thi state,florida
5711,transport,$800,"thi space shuttl that made it maiden voyag in one thousand, nine hundred and ninety-two wa built to replac challeng",endeavour
5712,ye n deedi,$800,deriv from the greek for ship thi unpleas condit can affect you on dri land,nausea
5713,gener knowledg,$600,"reginald jackson born in one thousand, nine hundred and forty-six is nicknam mr octob thoma jackson born in one thousand, eight hundred and twenty-four wa nicknam thi",stonewal
5714,you need to convert,$200,one seven hundred and twenty-eight cubic inch equal thi mani cubic foot,one
5715,state song,$400,bet you a buckey know that hi state song is beauti thi,ohio
5716,gluttoni,$1000,thi great grandson of augustu extort confisc roman estat to financ hi excess,caligula
5717,may,$400,these priestli celt institut sacrifici may bonfir to ensur success plant rich harvest,druid
5718,watch thi space,$400,use data from the chandra x ray telescop three teen in north carolina discov one of these spin neutron star,pulsar
5719,old testament book,$400,it 's the book abbrevi is,isaiah
5720,cours correct,$600,i'm out of psych 11n origin of mental life into danc 13ax ballet intens at thi palo alto area school,stanford
5721,medic t time,$600,if you have a deep cut or dirti wound get a booster shot for thi if you have n't had one in the last five yr,tetanu
5722,grandma,$400,an ore grandma clock at one hundred and three mph in '09 said she wa teach her ten year old grandson the danger of thi,speed
5723,for kid,$800,ham american sub is one of these oscar mayer combo that sound perfect for the noon meal,lunchabl
5724,econom,$200,after deduct all expens from your gross profit you 're left with thi,net
5725,black white cinema,$200,"the bate motel is the locat of the intrigu in thi thriller from one thousand, nine hundred and sixty",psycho
5726,you got style home,$1000,seen a href http www j archiv com medium two thousand and six twelve twenty-two j twenty-eight jpg target blank here a is an exampl of thi earli american style typic three storey with a symmetr facad,feder
5727,world leader,$200,the onli presid thi nation ha had are sukarno suharto,indonesia
5728,state the landmark,$1000,zion nation park monument valley,utah
5729,g forc,$800,in a word it 's the rock 'n' roll music set at rydel high school,greas
5730,geolog,$800,"in the one thousand, eight hundred and thirty loui agassiz prove that these move bring with them the rock boulder that cover europ",glacier
5731,pas the potato,$1000,we 'll duke it out over these potato pure with egg yolk butter name for a duke 's wife,duchess
5732,first year of the centuri,$400,"spanish explor rodrigo de bastida discov thi isthmu in one thousand, five hundred and one",panama
5733,nice ab s,$1000,thi larg mollusk is use a a sourc of mother of pearl,abalon
5734,guilti pleasur,$800,red dress ink a new line from thi romanc publish featur neurot cocktail swill urban heroin,harlequin
5735,discoveri,$400,by newton no leibniz no newt anyway thi branch of math,calculu
5736,buggi,$200,"in one thousand, eight hundred and ninety-seven dr ronald ross demonstr that malaria wa transmit by these insect",mosquito
5737,i can't hear myself think,$400,it seem like somebodi turn the low of these anim on high,cow
5738,"the great exhibit of one thousand, eight hundred and fifty-one",$400,there were mani peeper at thi american 's reaper,mccormick
5739,sport team nicknam,$200,cleveland 's nfl team took thi name from coach paul not run back jim,brown
5740,potent potabl southern style,$1000,the main ingredi in an alabama slammer are amaretto southern comfort the sloe type of thi,gin
5741,g roceri,$600,thi blue vein chees is name after a villag near milan it 's been made in the po valley sinc the 9th centuri,gorgonzola
5742,hole,$200,a standard round of pga golf is thi mani hole,eighteen
5743,car,$800,show it age thi one hundred and six year old gm line of car sent it last one off the assembl line in two thousand and four,oldsmobil
5744,fashion design,$400,thi italian often mark hi cloth with hi signatur v how sheik,valentino
5745,potluck,$800,it 's the answer to the sphinx 's riddl what walk on four leg in the morn two at noon and three in the even ?,man
5746,also a music instrument,$600,a brand of irish lager,harp
5747,food drink,$400,thi lunch meat is name for the italian citi that 's also home to mortadella,bologna
5748,compound word,$1000,the jepton featur murray pariah on these he play the roland vk eight,keyboard
5749,the under world,$200,lingeri is a fanci word for it,underwear
5750,in the dictionari,$800,the word roulett is from old french for small thi though it 's a big part of the game,wheel
5751,dead scientist societi,$400,when thi russian made hi period tabl he left room for the still undiscov gallium,mendeleev
5752,wish you were here,$200,dear harri final made it to thi citi saw the van gogh museum the ann frank hous wish you were here,amsterdam
5753,busi letter,$200,movi theater chain amc is american thi cinema a prefix often found in front of plex,multi
5754,hey it' rain,$800,mount waialeal on thi garden island of hawaii is the wettest spot on earth with about four hundred and sixty of rain each year,kauai
5755,new coach sign,$1000,appropri twist my hair around around my finger would be the signal for thi bodi build exercis,curl
5756,pas the urk y,$1000,known for their courag feroc these nepales soldier have been a part of the british armi for two hundred year,gurkha
5757,word from place,$1000,thi color a brilliant purplish pink is name for a northern italian citi,magenta
5758,mr octob,$800,"the octobrist were form in thi larg countri in one thousand, nine hundred and five quickli becam it major polit group",russia
5759,technolog,$600,on feb twenty-nine two thousand and eight blu ray emerg a the new video disc choic a thi japanes co abandon it hd dvd format,toshiba
5760,busi buddi,$200,"s duncan black thi partner file a patent for a drill in one thousand, nine hundred and fourteen",decker
5761,anagram anim,$1000,a sea creatur scoot up,octopu
5762,island,$800,it 's the second largest of spain 's balear island majorca is first,minorca
5763,mountain,$600,aneto in the pyrene is thi countri 's highest point,spain
5764,twain tract,$1000,these were abroad in a work twain compil from letter he sent home from an oversea trip,innoc
5765,the encyclopedia of life,$1000,if you have video of the black collar coast horn or nevada gridiron tail type of thi reptil send it in,lizard
5766,countri time,$400,it 's the onli scandinavian nation that border onli one other countri germani,denmark
5767,hockey,$600,in two thousand and ten the hockey hall of fame welcom it first two of these jame granato,woman
5768,"hindsight is one thousand, nine hundred and twenty",$1000,the russian should have reckon with marshal pilsudski befor fight with thi hi countri,poland
5769,desert,$400,the name of thi desert in the south of israel is from the hebrew for south,negev
5770,poetri,$1000,pope 's the rape of the lock is n't divid into stanza or vers but these also favor by ezra pound,canto
5771,in countri,$1000,sao lui manau rio verd,brazil
5772,letter perfect,$800,thi letter one away from be in the music scale in the english speak world is use by german for b natur,h
5773,hey mon,$400,kipl knew it 's the agil carnivor seen here,mongoos
5774,joani love karachi,$400,joani rememb the happi day when karachi wa pakistan 's capit but she like thi current capit too,islamabad
5775,john marshal,$600,marshal wa a cousin friend final adversari of thi presid who rage at hi pro federalist rule,jefferson
5776,thank for the memoir,$400,ingrid betancourt 's even silenc ha an end recount her six year of captiv in the jungl of thi countri,colombia
5777,let' learn some semaphor,$600,a href http www j archiv com medium two thousand and nine one sixteen j twenty-eight jpg target blank thi a in the clue is much wors than it bite,bark
5778,foreign film oscar nation,$800,"one thousand, nine hundred and seventy-nine the tin drum",germani
5779,bibl quotat,$400,apostl who in one timothi wrote christ jesu came into the world to save sinner of whom i am chief,paul
5780,celebr book,$1000,thi novella by steve martin wa turn into a two thousand and five film star martin clair dane,shopgirl
5781,classic ad jingl,$1000,solut for a small planet,ibm
5782,wine a littl,$600,sautern ice wine are two of the wine name for thi dinner cours,dessert
5783,let' visit springfield,$800,springfield in thi state is where the common spring clothespin wa invent a green mountain guid is publish,vermont
5784,happi trail,$800,california 's highway one hundred and one follow el camino real which link four presidio with twenty-one of these,mission
5785,you see la,$1000,element with the atom number one hundred and three it ai n't livermorium,lawrencium
5786,lucil ball' 100th birthday,$800,in her final big screen role luci coax the blue right out of the horn a the aunti in thi music with a one word titl,mame
5787,african citi,$800,it 's the oldest of morocco 's imperi citi a fine place to shop for a hat,fez
5788,nors mytholog,$400,sigurd call the most import hero in nors myth is famou for kill fafnir one of these,dragon
5789,english lesson,$400,the organ of event or storylin in a tale a in stephen king 's graveyard shift,plot
5790,file under t,$400,he wa sent to bring isold to cornwal to marri hi uncl king mark,tristan
5791,state fact,$400,most of north dakota 's border with thi state is provid by the red river of the north,minnesota
5792,question date of birth,$800,a thirty-two year old actress pretend to be nineteen got a job write for thi wb tv show about a colleg girl,felic
5793,art,$200,the thinker guard the entranc to the philadelphia museum devot to thi sculptor,rodin
5794,eq test,$800,to deliber speak ambigu in order to mislead,equivoc
5795,drive the green,$400,at fifty-five mpg you could get from l a to vega on a bout five gallon drive a priu from thi compani,toyota
5796,gemston,$400,the moh scale is use to judg thi qualiti of gem a diamond rate a ten,hard
5797,to the far east side,$400,twenty mile east of the yellow sea is thi south korean citi whose name mean capit which is conveni,seoul
5798,de art,$800,hi prelud to the afternoon of a faun is refer to a a tone poem,debussi
5799,collegi lexicon,$1000,from the latin for east these campu workshop introduc new student to colleg life,orient
5800,so you want to be a firefight,$200,a virginia beach firefight waiv hi right to do thi on or off duti especi we guess in bed,smoke
5801,finish the palindrom,$800,live on decaf face no thi,devil
5802,asian countri,$600,"in novemb one thousand, nine hundred and seventy-six the u s veto thi reunit countri 's admiss to the u n",vietnam
5803,what a gem,$800,thi purpl gem is associ with st matthia who replac juda iscariot a one of jesus' apostl,amethyst
5804,veggi pourri,$400,babi borscht a fad in the fifti wa made from babi food specif the strain type of these red veggi,beet
5805,one in a million,$200,the hebrew got their from oliv use it for anoint the dead for burn in lamp,oil
5806,stage act,$400,a href http www j archiv com medium two thousand and six six twenty-nine j eight jpg target blank cheryl walk around the live room set a actor need to rememb more than just line also thi their assign movement around the stage,block
5807,moo,$800,of all the world 's countri thi one ha the most cattl appropri if you think about it,india
5808,y ask,$400,it 's a german languag with a mixtur of hebrew vocabulari,yiddish
5809,mytholog,$1000,he tame the wing hors pegasu with a bridl given to him by athena,bellerophon
5810,hello potpourri,$800,name after a 17th centuri draper it 's ani small ornament mat a of lace hello,doili
5811,two letter word,$800,the random hous dictionari give one definit of it a at bat,up
5812,the cocktail hour,$200,last name of tom made with the juic of one two a lemon one tsp powder sugar two oz gin,collin
5813,religi number,$400,the number of time the word appl snake appear in the king jame version of genesi,zero
5814,crime time,$800,a failur to meet an oblig it may be of contract,breach
5815,unit of measur,$1000,by pedal with all your might for a few minut you can gener two hundred and fifty watt or bare one third of thi unit,horsepow
5816,i give you an nch,$800,a a verb it mean to twist suddenli a a noun it 's a bolt twist tool,wrench
5817,miss word,$800,"the name of thi softwar introduc in one thousand, nine hundred and ninety-one come befor out to mean get rid of an element in a pictur",photoshop
5818,spot the kitti,$600,the vietnames the cambodian the burmes,burmes
5819,great b gin,$1000,richard ii of england wa known a richard of thi great french wine grow region,bordeaux
5820,witchcraft,$400,a witch may c a s t one of these to influenc event,spell
5821,after mash,$800,in the last name of the creativ team that gave u the music oklahoma the sound of music,rodger
5822,three letter word,$800,it 's the main ingredi in a candl,wax
5823,you say tomato,$800,the italian call the tomato pomodoro mean golden one of these fruit,appl
5824,sometim b c,$1000,"in the one thousand, four hundred b c egypt rule these supersailor of what 's now lebanon",phoenician
5825,state nicknam,$1000,arbor day like help it becom the tree planter state,nebraska
5826,edific rex,$800,locat on the chao phraya river a royal palac of thi nation is home to the chapel of the emerald buddha,thailand
5827,u s citi,$600,thi citi on lake eri in upstat new york wa the last stop on the underground railroad in the 19th centuri,buffalo
5828,at the drugstor,$600,"do n't tell anyon thi deodor that 's strong enough for a man made for a woman wa introduc back in one thousand, nine hundred and fifty-six",secret
