,category,value,ques,ans
2387,a bibl person to be name later,$400,latin for wise men they were later name melchior gaspar balthazar,magi
2388,colleg athlet,$200,"the liberti bowl move to thi tennesse citi in one thousand, nine hundred and sixty-five after be held in philadelphia atlant citi",memphi
2389,thi or that,$1000,mr baggin of the hobbit or an archaic term for a fine temper sword,bilbo
2390,state fair food,$1000,a recent hit at the florida state fair wa thi sweet crisp hickori flavor meat dip in chocol,bacon
2391,woman in song,$1000,elvi costello you can call me anyth you like but my name is thi,veronica
2392,zero,$1000,the zero came about in part a a way to indic the unus level on thi bead devic,abacu
2393,simpl scienc,$200,thi element ha the symbol n,nitrogen
2394,end in ee,$400,one may be steer stand or just plain special,committe
2395,biblic peopl,$400,thi man anoint the 1st king of israel wa the son of kish a wealthi benjaminit,saul
2396,modern histori,$400,"in one thousand, nine hundred and forty-five he declar indonesia 's independ becam it first presid",sukarno
2397,fiddlestick,$400,a violin bow tradit use hair taken from the tail of thi anim,hors
2398,flight simul,$1000,sarah of the clue crew sit in a flight simul the simul ha a databas of mani differ airport that can be use for pilot train for each airport satellit imageri creat a href http www j archiv com medium two thousand and eleven five seventeen j thirty wmv thi a detail map whose name come from the greek for place write,topographi
2399,sat s,$200,the name of thi fabric can preced flower glass or stitch,satin
2400,the summer olymp,$400,"in one thousand, nine hundred and seventy-six hungari 's miklo nemeth threw thi farther than ani field apparatu in olymp histori 310' four",javelin
2401,other statu of liberti,$1000,for our nation 's centenni religi liberti wa hous in thi eastern citi 's fairmount park,philadelphia
2402,toy game,$1000,if you roll five of a kind you 've gotten thi the name of a dice game by milton bradley,yahtze
2403,stupid answer,$1000,"leonardo da vinci wa born near thi small tuscan town in one thousand, five hundred and nineteen",vinci
2404,eve ning,$1000,"it 's the a in ja the youth organ begun in one thousand, nine hundred and nineteen to teach young peopl about american busi",achiev
2405,bottom up,$1000,in the movi sideway wine snob mile threaten to walk out on hi date if he ha to drink thi red wine,merlot
2406,bangladesh slowli,$1000,hey a chief crop is thi fiber use to make burlap the bjmc is the corpor that run the mill,jute
2407,state of the union,$200,more breakfast cereal is produc in thi state 's citi of battl creek than ani other place on earth,michigan
2408,teuton,$400,the current headquart of the teuton knight are in thi european capit at singerstrass seven,vienna
2409,get a whiff of thi,$200,elizabeth taylor ha a perfum call white these,diamond
2410,no anim were harm,$1000,you can see whi a href http www j archiv com medium two thousand and nine two eleven j twenty-eight wmv thi a star a white pig receiv thousand more fan letter than co star eva gabor,arnold
2411,the univers,$200,horsehead trifid crab are exampl of these cloud of interstellar matter,nebula
2412,album,$400,thi group ha score five straight no one album includ two thousand and three 's st anger two thousand and eight 's death magnet,metallica
2413,herb spice,$1000,also call estragon it 's use to add a tang to sauc mani dish,tarragon
2414,girl scout badg,$400,it 's where a girl scout ha to go to earn her cybergirlscout badg,onlin
2415,state that end in hampshir,$200,the franklin pierc law center christa mcauliff planetarium can be found in thi capit of new hampshir,concord
2416,sa,$1000,suggest or downright indec like some write pictur,salaci
2417,museum,$400,"there 's a one thousand, nine hundred and forty-one crosley at thi state 's nation automobil museum built on bill harrah 's collect",nevada
2418,book author,$200,in frank herbert titl thi word follow child of heret of god emperor of,dune
2419,headwear,$400,of low medium or high the crown on a stetson ten gallon hat,high
2420,where' my car ?,$1000,the preciou metal that preced ghost dawn shadow in the name of roll royc model,silver
2421,old lace,$1000,"gro point de thi citi itali 's greatest lace center aros in the one thousand, six hundred with elabor scroll pattern",venic
2422,coat of arm,$1000,it nation coat of arm featur montevideo hill with a fortress on top symbol strength,uruguay
2423,it' element,$400,with one a it atom number thi ga head up the period tabl,hydrogen
2424,on valentine' day,$200,"on feb fourteen one thousand, nine hundred and sixty-two the oa formal exclud thi communist nation from particip in ani of it activ",cuba
2425,the intern butler academi,$400,a href http www j archiv com medium two thousand and eight twelve two j two jpg target blank sarah of the clue crew sit at a place set at the intern butler academi the netherland a spoon handl for thi cours should all face to the right fork to the left they are alway posit abov the place set,dessert
2426,t three,$1000,to creat an opera you need a compos thi person who write or adapt the text,librettist
2427,v is for,$400,thi menthol product from vick that 's use on the chest throat to reliev cough,vaporub
2428,potpourri,$400,persil is the french word for thi ever popular garnish,parsley
2429,foreign word phrase,$400,in spain you might go shop for una chaqueta a jacket made of cuero thi,leather
2430,young abe lincoln,$400,among the book read by lincoln a a youngster were robinson cruso aesop 's fabl mason weems' life of thi man,washington
2431,season greet,$200,salari come from the latin for of thi season,salt
2432,the offic workout,$1000,a href http www j archiv com medium two thousand and ten eleven twenty-five j twenty-five wmv kelli of the clue crew demonstr an offic exercis a it may not look like much but press down on a desk for sever second and hold is thi type of static exercis which increas muscl strength,isometr
2433,ito tito frito,$1000,"on may four one thousand, nine hundred and eighty tito die in ljubljana in what wa then thi countri",yugoslavia
2434,tv charact,$200,detect who chomp on half smoke cigar alway wear a rumpl stain raincoat,columbo
2435,gemston,$200,a href http www j archiv com medium two thousand and seven five twenty-eight j seventeen jpg target blank kelli of the clue crew hold a gemston a the product of a live organ a href http www j archiv com medium two thousand and seven five twenty-eight j 17a jpg target blank it 's a the birthston for the month of june,pearl
2436,they live past one hundred,$1000,new york socialit philanthropist brook whose husband vincent wa an heir to thi famili 's fortun die in two thousand and seven at one hundred and five,astor
2437,dirti four letter word,$200,on iron it 's mainli hydrat ferric oxid,rust
2438,european capit,$400,in russian thi lithuanian capit is call vilna,vilniu
2439,romanc the throne,$400,follow custom thi queen marri two of her own brother ptolemi xiii ptolemi xiv,cleopatra
2440,miss it by that much,$400,my small tool trade game minipulley did n't do a well a thi properti trade game by charl darrow,monopoli
2441,my favorit thing,$400,bright copper kettl and warm woolen these,mitten
2442,gener food portion,$400,at marshal field 's in two thousand and two life wa like a three two hundred and twenty-six pound box of thi,chocol
2443,you get a d,$1000,in greek mytholog the mother of persephon,demet
2444,weight measur,$400,subtract an e from one seven hundred and sixty yard you get thi measur for one thousandth of an inch,mil
2445,flag of the world,$1000,"in one thousand, nine hundred and three thi countri seen a href http www j archiv com medium two thousand and six seven nineteen j twenty-eight jpg target blank here a wa move from one contin to anoth",panama
2446,british royal love affair,$400,thi king nicknam lackland did n't lack a love life he had at least seven child out of wedlock,john
2447,oo oo,$200,mean unencumb it goe with fanci free,footloos
2448,merriam webster' new word for two thousand and seven,$200,thi huge new entri is a blend of gigant enorm,ginorm
2449,slogan,$400,no longer content to just do it thi shoe compani now implor it custom to believ i can,nike
2450,preposit,$400,if thi preposit did n't exist we 'd have song titl like more than there more than the rainbow,over
2451,american geographi,$1000,mani oregon trail trekker set out from thi missouri citi the trail 's eastern terminu,independ
2452,world flag,$1000,"thi larg countri re adopt it old red white blue flag in one thousand, nine hundred and ninety-one",russia
2453,dan o mite,$1000,"american architect daniel burnham wa the director of work at the one thousand, eight hundred and ninety-three world 's fair in thi citi",chicago
2454,sh,$200,it 's anoth term for stenographi,shorthand
2455,kansa,$400,cyru holliday help found thi citi becam presid of the railroad whose name includ it,topeka
2456,slogan,$200,thi brand ha the lock on fresh,ziplock
2457,independ film,$200,"thi coen brother tale from one thousand, nine hundred and ninety-six is a homespun murder stori",fargo
2458,militari movi,$1000,"one thousand, nine hundred and eighty-one misfit take over complet their own basic train that 's the fact jack",stripe
2459,ad hock,$1000,a sloppi joe is a sandwich but thi is a meal,manwich
2460,chico harpo or groucho,$200,host a success quiz show on tv radio,groucho
2461,i need more space,$200,"thi mattel doll becam an astronaut in one thousand, nine hundred and sixty-five perhap inspir the young salli ride",barbi
2462,good golli malawi,$400,malawi 's chief export are tobacco thi which is highli popular in britain around four p m,tea
2463,let' get small,$200,"in one thousand, nine hundred and eighty the world heath organ announc the erad of thi viral diseas",smallpox
2464,old navi,$400,"partli design by peter the great thi countri 's first battleship the poltava wa launch in one thousand, seven hundred and twelve",russia
2465,the last king,$1000,the last king of greec share thi name with a great christian roman emperor,constantin
2466,tv seri final,$1000,loi clark had a wed clark final got the superman suit which he don to save loi aboard air forc one,smallvil
2467,accessori,$200,nyc jewel fulco di verdura origin the use of seashel on these sleev closer,cufflink
2468,polit term,$200,former presid jimmi carter speak from the carter center in atlanta from latin for i forbid it 's what i did to thirty-one veri bad bill pas by congress,veto
2469,old medicin term,$400,gripp refer to a contagi diseas character by feverish especi thi one,influenza
2470,such good chemistri,$1000,a u s nuclear weapon use thi element co ha been term a doomsday devic a it would wipe out life on earth,cobalt
2471,n the dictionari,$200,thi term for a between meal snack come from yiddish,nosh
2472,belov film,$400,broom hold bucket march a an appropri paul duka piec play in a segment of thi classic film,fantasia
2473,celebr of the month,$1000,nation magic day nevada admiss day,octob
2474,let' go to itali,$1000,check out the campanil the galleria degli uffizi in thi tuscan town,florenc
2475,barber colleg,$400,that the american colleg of hairstyl requir sixty hour of train in thi should n't have you in a lather,shave
2476,nonfict,$400,in histori of my calam he wrote about hi tragic romanc with helois,abelard
2477,er,$200,to remov a record signal from a tape,era
2478,half a nice day,$400,in two thousand and three amd introduc it sixty-four thi chip that 's a lot of person comput power beat the standard thirty-two,bit
2479,of oz,$1000,the name of these singl cell organ is from the greek for first anim,protozoa
2480,anim in literatur,$200,squealer thi type of anim farm anim get so fat he can bare see,pig
2481,movi adject,$1000,two thousand and five the garden,constant
2482,the anim,$400,thought to resembl lion associ with buddha thi chine dog breed wa protect by royal decre,pekinges
2483,feminin name,$200,actress bergman help popular thi scandinavian first name possibl mean beauti,ingrid
2484,who' had more no one hit ?,$1000,heart littl feat murray head,heart
2485,arkansa,$200,though not note for it chine restaur arkansa produc more of thi grain than ani other state,rice
2486,the two thousand and eleven fortun five hundred,$1000,check out at no twenty-eight eighty-eight of thi wholesal 's custom renew their annual membership,costco
2487,up on mount rushmor,$400,sent lewi clark off to see the countri,jefferson
2488,other statu of liberti,$200,greek turk share a statu of liberti in thi island countri,cypru
2489,the third categori,$400,"thi u s presid wa elect to an unpreced third term in one thousand, nine hundred and forty",fdr
2490,si 's sign of the apocalyps,$200,thi tire co paid rip hamilton to braid hi hair in the tread pattern of one of it tire not blimp,goodyear
2491,american histori,$400,"in the one thousand, eight hundred and eighty the knight of thi gave way to the american feder of thi repres worker",labor
2492,asian histori,$1000,"in the one thousand, nine hundred and twenty the kemalist oppos the sultan in thi countri eventu prevail",turkey
2493,geographi b,$200,"onc part of the ottoman empir it becam capit of iraq in one thousand, nine hundred and twenty-one",baghdad
2494,fashion design,$200,perri elli began hi career a a buyer for miller rhoad depart store in thi virginia capit,richmond
2495,i'm get the shake pear,$200,a histori of denmark by saxo grammaticu wa one sourc of thi five act tragedi,hamlet
2496,four letter band,$400,thi aussi band had hit in the late '80 with devil insid need you tonight,inx
2497,end in ee,$1000,ten four good buddi reno 's on thi river,trucke
2498,brand name,$200,"japanes film brand whose blimp debut at the one thousand, nine hundred and eighty-four summer olymp",fuji
2499,two thousand and ten movi,$200,will ferrel brad pitt squar off in thi super stori well their voic do,megamind
2500,speed,$1000,ani object said to be travel at hyperson veloc ha a speed over five on thi scale name for an austrian,mach
2501,colleg word,$400,add three letter to a synonym for ail to get thi word for a small campu hospit,infirmari
2502,fabric textil,$200,the name of thi fabric with metal thread come from lamina latin for thin piec of metal,lam
2503,take a letter,$400,in religi write thi symbol of the greek letter chi repres christ,x
2504,song titles' miss begin,$400,lane lover for your thought,penni
2505,plant the evid,$1000,most of the oregano sold in the u s is made from the dri leav of thi plant,marjoram
2506,c hees,$1000,perhap it 'll make you grin to know that thi british chees is tradit use to make welsh rarebit,cheshir
2507,i for one welcom,$400,willkommen is the first song in thi broadway music,cabaret
2508,it' unreal,$400,"on april eight one thousand, nine hundred and sixty-six the l a dodger play on thi surfac for the first time it wa dure an away game",astroturf
2509,a windi categori,$1000,video clip from the scienc center of minnesota it 's believ that tornado begin with a rise current of warm air call thi which eventu start rotat,updraft
2510,the human bodi,$1000,cumin is a spice thi blood plasma protein that rhyme with it carri nutrient to bodi tissu,albumen
2511,chicago,$200,the art institut of chicago is guard by two of these beast bronz one not real one,lion
2512,those wacki german,$200,the food mani german like best is wurst which are these hot dog shape meat treat,sausag
2513,four a s four you,$200,thi creol dish is made of rice cook with ham sausag chicken or shellfish,jambalaya
2514,crossword clue a,$200,type of turf for the jetson 's dog five,astro
2515,ancient roman,$1000,thi orat wrote let arm yield to the toga the laurel crown to prais,cicero
2516,sport,$400,"on juli seventeen one thousand, nine hundred and ninety-four thi nation won a record fourth world cup soccer titl by beat itali three two on penalti kick",brazil
2517,fill in the titl,$1000,charlott perki gilman the wall paper,yellow
2518,five letter word,$400,a superl form of littl it 's an antonym of utmost,least
2519,bear feat,$200,the asiat black bear also bear the beari nice name of these indian mountain where it dwell,himalaya
2520,good old planet earth,$1000,a href http www j archiv com medium two thousand and eleven seven seven j twenty-five wmv kelli of the clue crew write with a rock a it 's not surpris that the name of thi miner come from the greek for to write,graphit
2521,end in ee,$400,jesu is known a the man from thi place,galile
2522,the histori channel,$400,"the show on the transatlant cabl wa subtitl two thousand, five hundred mile of thi element metal",copper
2523,game,$400,in monopoli it 's the first properti after go,mediterranean
2524,the dread opera categori,$400,"virgil thomson 's one thousand, nine hundred and thirty-three opera four saint in three of these actual ha four of them",act
2525,around the world,$400,greenland ha two offici languag greenland thi,danish
2526,u s state,$400,it contain both the highest lowest point in the lower forty-eight state,california
2527,parrot,$1000,at almost forty inch in length the hyacinth speci of thi south american bird is the largest parrot,macaw
2528,seven letter word,$200,peopl thick a these are close or tight you may want to hold on to your wallet,thiev
2529,start with three conson,$1000,a a verb it mean to oppos defeat a plan or effort a a noun it 's a seat across a boat on which a rower may sit,thwart
2530,state fact,$200,it rank no one in agricultur peopl,california
2531,the jep tone world tour two thousand and six,$400,after a stint with the maharishi the group tri kaballah with thi singer whose hit includ beauti stranger,madonna
2532,around the commonwealth,$400,english is the offici languag of thi oil rich countri that border chad niger cameroon,nigeria
2533,foreign,$200,in portugues domingo is thi day of the week,sunday
2534,anim collect,$1000,a flock of these black bird is call a murder,crow
2535,that' comedi,$200,in thi two thousand and seven movi eddi murphi find himself agonizingli marri to eddi murphi,norbit
2536,biblic abomin,$1000,in genesi forty-six thirty-four everi shepherd is an abomin unto thi kingdom that wa known a kemet,egypt
2537,or law school ?,$1000,chewa ngond are among the main ethnic group in thi african countri,malawi
2538,man hattin',$400,the tam o' shanter the glengarri are popular men 's hat from thi u k countri,scotland
2539,europ,$200,the world 's earliest steam locomot pull car full of thi product out of mine in wale,coal
2540,poet poetri,$400,"in one thousand, nine hundred and forty-five thi south american countri 's gabriela mistral won the nobel prize for literatur",chile
2541,the bodi human,$400,world book describ thi organ a a grayish pink jellylik ball with mani ridg and groov,brain
2542,"one thousand, eight hundred and twelve",$200,"some sourc say she die in one thousand, eight hundred and twelve but a woman who die in one thousand, eight hundred and eighty-four claim to be thi indian guid",sacajawea
2543,feed me,$1000,how about some cuban food ? garlic chicken black bean rice fri slice of thi starchi banana rel,plantain
2544,five letter word,$200,to skip school or the furrow on the side of the road,ditch
2545,handheld,$200,use by bird watcher these item are simpli a connect pair of handheld telescop,binocular
2546,c ountri,$400,"when the warsaw pact invad what wa then thi countri in one thousand, nine hundred and sixty-eight romania did n't particip",czechoslovakia
2547,carrot,$400,it 's the top carrot produc state,california
2548,hispanica,$200,control of thi forty-two zero squar mile island wa a central concern of the spanish american war,cuba
2549,what do you stand for ?,$1000,it 's what the q stand for in qanta an airlin 's acronym,queensland
2550,what a comedian,$400,chri rock doe n't think gun control is necessari a long a these cost five zero,bullet
2551,here' the prez,$200,despit a href http www j archiv com medium two thousand and five eleven three j twenty-one jpg target blank thi a prez 's effort he could n't get over hi depress,hoover
2552,intern cuisin,$200,you might begin a german meal with aalsupp a soup made from thi snake like sea creatur,eel
2553,jonah' druther,$200,aboard ship in a storm the men cast these item of chanc jonah 's came up but he 'd rather it did n't,lot
2554,biblic multipl choic,$400,of alvin simon theodor or david the person for whom the oldest part of jerusalem is name,david
2555,movi term,$400,peopl are still flock to see my pictur two month after it open it 's realli got these bodi part,leg
2556,defend the u s,$1000,a href http www j archiv com medium two thousand and seven one eighteen j twenty-seven jpg target blank jon report from northcom 's offic a northcom doe n't defend just against militari threat in two thousand and five presid bush wa here to watch the monitor of thi hurrican on katrina 's heel,rita
2557,myth ellani,$1000,thi fieri goddess make her home in the firepit of kilauea,pele
2558,stupid answer,$400,thi state is name after thoma west whose titl wa baron de la warr,delawar
2559,iphon app,$1000,you can figur out squar root find coordin on the x y axe with the app call graph thi,calcul
2560,the korean war,$1000,"in one thousand, nine hundred and fifty the first all jet dogfight saw russel brown in an f eighty shoot down one of these soviet plane",mig
2561,notabl woman,$200,"ann sophi mutter made her profession debut play thi string instrument in one thousand, nine hundred and seventy-seven at age thirteen",violin
2562,imaginari race,$1000,doozer were builder gorg were giant seven time bigger than these furri be creat for tv by jim henson,fraggl
2563,time' top ten everyth of two thousand and eight,$400,no two in jerri stiller 's top ten word thi befor gevalt bonu no three wa colonoscopi,oy
2564,sound like an armi unit,$1000,homonym for the center of a granni smith or a jonathan,corp
2565,ten letter word,$1000,a type of raft in the rapid or a real estat scandal involv the clinton,whitewat
2566,ow,$400,cheryl of the clue crew at sea world in san diego a muscular flap cover thi is close to provid a watertight seal when the dolphin is relax,blowhol
2567,spoiler alert,$1000,"one thousand, nine hundred and thirty-two the unusu circu perform discov olga 's murder plan turn her into a chicken woman",freak
2568,doubl g whiz,$1000,to overwhelm or bewild especi while play a certain parker brother word game,boggl
2569,world leader,$400,"the french do n't seem to get tire of thi man first appoint prime minist in one thousand, nine hundred and seventy-four now presid",chirac
2570,19th centuri scienc,$1000,"georg grotefend bet some drink companion that he could deciph thi wedg shape system of write did in one thousand, eight hundred and two",cuneiform
2571,print,$200,a halfton print is realli an optic illus it 's actual lot lot of these that seem to form an imag,dot
2572,middl name plea,$400,of former first ladi eleanor carter,rosalynn
2573,quasi stupid answer,$1000,thi acronym refer to a famili with a singl incom two child an oppress mortgag,sitcom
2574,judaism,$400,for some prayer to be read in the synagogu a minyan or thi mani men must be present,ten
2575,word from the persian,$1000,it 's a shrub with fragrant flower the name of the disney princess in aladdin,jasmin
2576,how touch,$400,liter french for touch thi express indic a hit in fenc,touch
2577,the shakespear charact who said,$1000,bewar my lord of jealousi it is the green eye monster,iago
2578,the price is right,$400,thi man 's then record set 70th home run ball sold for more than three million he 's now retir,mcgwire
2579,what a peasant surpris,$400,"in one thousand, three hundred and eighty-one wat tyler led a bloodi peasant revolt in thi countri",england
2580,in the 21st centuri,$400,the fda began recal peanut butter after investig a septemb two thousand and eight outbreak of thi ill,salmonella
2581,woman outstand in their field,$200,giada de laurentii rachael ray julia child,cook
2582,ok comput,$200,thi high fli comput program from adob convert other type of document into a pdf file,acrobat
2583,u s state,$200,do the wild fai do do in thi state while motor on interst ten to baton roug or ponchatoula,louisiana
2584,leftov,$200,victorian believ the bigger heavier thi organ wa the smarter you were thackeray 's wa three lb ten oz,brain
2585,land ha,$200,"in one thousand, six hundred and thirty-six thoma hooker a congregationalist minist found what would be thi capit of connecticut",hartford
2586,signag,$400,in much of the world the imag seen a href http www j archiv com medium two thousand and eleven six twenty-seven j twenty-two jpg target blank here a design by yukio ota is the equival of thi four letter u s sign,exit
2587,wine chees,$200,thi belgian chees is said to be undoubtedli the stinkiest of the strong smell chees,limburg
2588,the fdr librari,$1000,"a href http www j archiv com medium two thousand and five four one j five jpg target blank cheryl of the clue crew point to the origin document in the collect room of the fdr presidenti librari in hyde park ny a on hi decemb eight one thousand, nine hundred and forty-one speech fdr a href http www j archiv com medium two thousand and five four one j 05a jpg target blank cross a out the word world histori and use thi one word for evil reput",infami
2589,an attract preposit,$200,in old song titl it preced the sad sea wave the light of the silveri moon,by
2590,the new york time movi,$200,manohla dargi review thi two thousand and nine pixar film under the headlin the hous that soar,up
2591,countries' highest point,$400,zugspitz in the bavarian alp,germani
2592,abbrev,$200,religi speak xnti is an abbrevi for thi,christian
2593,capit citi hotel,$200,the hotel zarya the hotel sputnik,moscow
2594,easi on the eye,$1000,i did n't watch thi show for it weird stori line but to see jennif garner a a doubl agent,alia
2595,dude eronomi,$200,total cool thi dude wrote deuteronomi a a way of reinforc what he first learn on mount sinai,mose
2596,cut the mustard,$400,under french law onli brown or black seed are use to make thi type of mustard,dijon
2597,christma song,$400,in mel torm 's the christma song folk are dress up like these,eskimo
2598,the korean war,$200,"american thought the war would end by christma one thousand, nine hundred and fifty until thi countri join the fray",china
2599,we like your style,$200,a classic sweater that open down the front is name for the 7th earl of thi,cardigan
2600,word origin,$200,shade of purpl whose name come from a word for mallow becaus it 's the color of mallow petal,mauv
2601,19th centuri medicin,$200,"in one thousand, eight hundred and eighty-five the first success vaccin for thi wa test on a boy who had been bitten by a dog",rabi
2602,i'v got supernatur power,$1000,the greek goddess of magic shakespear 's queen of the witch she can make cow fat or skinni,hecat
2603,eponym,$200,thi ism name for a legendari soldier devot to napoleon can mean the belief that one 's gender is superior,chauvin
2604,pitch horribl horribl woo,$1000,inde i should 've told you i had thi kiss diseas whose incub period is thirty forty day hey where ya goi,mononucleosi
2605,be a potato head,$1000,most of thi state 's potato are produc in aroostook counti,main
2606,u s state,$200,thi state 's largest lake is yellowston lake in the northwest,wyom
2607,the bibl,$400,these structur mention includ those of penuel eder hananel of cours of babel,tower
2608,they'r gr eat,$400,thin oatmeal cereal in water plea sir may i have some more ?,gruel
2609,that' my school,$1000,there 's a washington jefferson colleg in pennsylvania a washington thi gener univers in virginia,lee
2610,i'm a believ,$1000,in thi faith whose name come from the greek for univers,cathol
2611,whatev,$1000,not iron but thi reddish brown element catalyz the format of hemoglobin in human,copper
2612,ventur a,$200,him her him him her doe n't matter who,anyon
2613,histor yearbook entri ?,$200,gonna co lead the hun with my bro bleda until i kill him in four hundred and forty-five ha ha jk vote most like to pillag an entir civil,attila
2614,the reel world,$1000,in the princess diari two mia her grandmoth queen clariss call thi fiction land home sweet home,genovia
2615,it' australia mate,$1000,it 's evolv to becom the largest citi of australia 's northern territori,darwin
2616,u s state,$200,thi state 's geograph center lie about twelve mile northwest of littl rock,arkansa
2617,man ly word phrase,$400,tube pasta fill with meat chees serv with tomato sauc,manicotti
2618,tv cast,$200,jeff probst sixteen or so peopl in the middl of nowher,survivor
2619,the g eight,$400,hit the water at thi countri 's lesser slave lake williston lake or wollaston lake,canada
2620,sub categori,$200,the one associ with oliv twist is the parish boy 's progress,subtitl
2621,an if fy categori,$400,to take in an aroma,sniff
2622,out there sport,$400,"lisa andersen winner of the one thousand, nine hundred and ninety-seven u s open at huntington beach calif is perhap the top woman in thi sport",surf
2623,mammal,$200,thi u s marsupi ha fifty teeth more than ani other north american land mammal,opossum
2624,six letter word,$200,a threat like denni mitchel,menac
2625,our feather friend,$1000,"the nene an endang hawaiian speci of thi fowl ha grown from thirty bird in one thousand, nine hundred and fifty-two to over eight hundred today",goo
2626,rank titl,$200,a hindu princ who rank just abov a rajah is known by thi titl,maharajah
2627,u s histori,$200,some of well fargo 's stagecoach came from a factori in thi new hampshir capit,concord
2628,state the landmark,$200,kealakekua bay nuuanu pali akaka fall,hawaii
2629,nevada,$200,the largest lake entir within nevada or the shape of the luxor hotel in la vega,pyramid
2630,cell phone it in,$400,toni stewart wa the two thousand and five champion of the cup name for thi compani,nextel
2631,l m n,$1000,"ken russel 's one thousand, nine hundred and seventy-five film send up of hungarian compos franz",lisztomania
2632,formula2,$1000,a href http www j archiv com medium two thousand and eleven four fourteen j thirty jpg target blank kelli of the clue crew show some structur formula on the monitor a alkan are organ compound that have carbon atom arrang in a row c sub two sub h sub six sub is ethan add one carbon two hydrogen to get c sub three sub h sub eight sub a href http www j archiv com medium two thousand and eleven four fourteen j 30a jpg target blank thi a backyard barbecu stapl,propan
2633,u s geographi,$200,the name of thi state 's kennebec river is algonquian for long reach,main
2634,coloni america,$200,"david rittenhous invent a devic in one thousand, seven hundred and sixty-seven show the posit of sever of these in the solar system",planet
2635,v me,$200,for the absolut best cosmopolitan use the absolut citron type of thi liquor,vodka
2636,fun with scienc,$1000,a href http www j archiv com medium two thousand and nine five twelve j thirty jpg target blank jimmi of the clue crew show a littl veggi befor after a put celeri in red color water after twenty-four hour the leav turn a href http www j archiv com medium two thousand and nine five twelve j 30a jpg target blank red a becaus of thi process by which plant absorb fluid from the greek for push or thrust,osmosi
2637,anim,$400,"in one thousand, nine hundred and sixty-one a feder law ban the import of thi south american fish into the u s",piranha
2638,beverag,$200,thi drink spun off g2 for athletes' off the field hydrat,gatorad
2639,farm,$200,round squar big squar are type of thi machin that put out tie bundl of hay,baler
2640,the main alcohol ingredi,$1000,in a rob roy vermouth 's along for the ride too,scotch
2641,state rebus,$400,the vehicl noah travel in togeth with the tool he use to cut word to make it,arkansa
2642,a short categori,$400,posit play by derek jeter,shortstop
2643,in the arena,$200,the ragin' cajun play basketbal in the cajundom arena in thi state,louisiana
2644,six letter word,$200,thi adject that can mean hot damp or hot passion is an alter of swelteri,sultri
2645,birthston,$1000,a plant with bumpi dark green leav is call thi may birthston rippl,emerald
2646,capit citi hotel,$1000,the scandic jarva krog the kung carl,stockholm
2647,wild thing,$400,creatur seen here in one of it more familiar color,chameleon
2648,pro teen,$1000,lionel messi from thi countri join spanish pro soccer at thirteen when a team agre to pay for hi growth hormon,argentina
2649,all around london,$1000,thi fashion london district is so name for the market festiv onc held there in the first week of may,mayfair
2650,appl,$400,thi type of round tart appl is le than two inch in diamet grow in the wild,crabappl
2651,pun day,$1000,it preced arena in the name of a chilean citi one of the southernmost in the world,punta
2652,rock group,$400,denni lane denni sewel linda mccartney were origin member of thi group,wing
2653,peopl place,$400,hibernian live on thi island whose latin name wa hibernia,ireland
2654,origin crayola color,$400,"befor tan wa ad in one thousand, nine hundred and forty-nine thi wa the onli three letter color in the box",red
2655,old testament who' who,$1000,after the israelit pas through the red sea thi sister of mose led the woman in song danc,miriam
2656,sweet p,$200,one of santa 's eight tini reindeer accord to clement clark moor,prancer
2657,time for a chang,$400,scott joplin is a famou perform compos of thi music style,ragtim
2658,itch y,$200,a perfect trailer goe off without one,hitch
2659,fiction charact,$200,in a novel by f scott fitzgerald nick 's neighbor is thi wealthi titl bootlegg,gatsbi
2660,one word movi titl,$200,"one thousand, nine hundred and ninety-four sandra bullock drive a bu realli fast",speed
2661,mytholog,$200,one account had her open a jar not a box but she still shut it befor hope escap,pandora
2662,histori of drink,$400,"an order for malt in scotland in one thousand, four hundred and ninety-four is the earliest refer to thi liquor that now come from mani land",whiskey
2663,where is everi bodi ?,$200,the process of develop human musculatur especi for competit exhibit,bodybuild
2664,opera crossword clue,$400,fairi tale that inspir la cenerentola ten,cinderella
2665,simpl thing,$200,one of these ratio is simpl if both it numer denomin are whole number,fraction
2666,governor,$1000,in two thousand and one ruth ann minner becam the first femal governor of thi small eastern state,delawar
2667,on the move,$200,"in one thousand, nine hundred and eighty the u s govern loan thi auto compani one five billion the loan were repaid within three year",chrysler
2668,school day,$200,thi ivi leagu school gave bill bradley hi b a,princeton
2669,boast,$400,in a fairi tale the brave littl tailor boast he kill seven with one blow the town thought he meant men he meant these,fli
2670,name the instrument,$400,in wynonna 's girl with,guitar
2671,what about estonia ?,$1000,thi movement to faith depict behavior includ georg eliot flaubert estonian novelist tammsaar,realism
2672,nine letter word,$400,a gem that is set alon or one of sever card game play by one person,solitair
2673,memori test,$200,give me a q mozart 's work kochel no five hundred and fifteen is one of these for two violin two viola cello,quintet
2674,cook,$400,if you want to be veddi british sprinkl your fish chip with the malt type of thi,vinegar
2675,the old testament,$1000,sorrow prophet who wrote the old testament book of lament,jeremiah
2676,and the kingdom,$400,sir thoma malori place thi castl in winchest at least for one brief shine moment,camelot
2677,a candi gori,$1000,"one of z best candi bar is thi one crunchi peanut butter toast coconut creat way back in one thousand, nine hundred and thirty",zagnut
2678,skateboard,$200,these devic on the undersid of board hold the wheel share their name with larg transport vehicl,truck
